mstr_item_id,name_combi,number,name,nickname,ranking,lbs_per_service,commodity_id,name_commodity,category_id,name_category,fa_31_cat_id,name_fa_31_cat,group_generic,dummy_is_fresh,group_fresh,group_food,family_id,name_family
22,APPLES Rubinette,3008,Rubinette,Rubinette,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
23,APPLES Russet,3009,Russet,Russet,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
24,APPLES Cripps Red,3010,Cripps Red,Cripps Red,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
25,APPLES Worcester,3011,Worcester,Worcester,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
26,APPLES Cameo,3065,Cameo,Cameo,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
27,APPLES Cameo,3066,Cameo,Cameo,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
28,APPLES Swiss Gourmet,3067,Swiss Gourmet,Swiss Gourmet,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
29,APPLES Swiss Gourmet,3068,Swiss Gourmet,Swiss Gourmet,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
30,APPLES Gravenstein,3069,"Gravenstein, Red",Gravenstein,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
31,APPLES Gravenstein,3070,"Gravenstein, Red",Gravenstein,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
32,APPLES Granny Smith,3071,"Granny Smith, Red",Granny Smith,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
33,APPLES Lady,3072,Lady,Lady,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
34,APPLES Macoun,3073,Macoun,Macoun,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
35,APPLES Greening (RI),3074,Greening (RI),Greening (RI),NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
36,APPLES Baldwin,3075,Baldwin,Baldwin,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
37,APPLES Melrose,3076,Melrose,Melrose,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
38,APPLES Northern Spy,3077,Northern Spy,Northern Spy,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
39,APPLES Liberty,3078,Liberty,Liberty,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
40,APPLES RoHo 3615,3104,RoHo 3615,RoHo 3615,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
41,APPLES Virginia Gold,3271,Virginia Gold,Virginia Gold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
42,APPLES Sommerfeld,3272,Sommerfeld,Sommerfeld,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
43,APPLES Honeycrisp,3283,Honeycrisp,Honeycrisp,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
44,APPLES Red Delicious,3284,Red Delicious,Red Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
45,APPLES Golden Delicious,3285,Golden Delicious,Golden Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
46,APPLES Aurora/Southern Rose,3290,Aurora/Southern Rose,Aurora/Southern Rose,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
47,APPLES Boskoop/Belle de Boskoop,3291,Boskoop/Belle de Boskoop,Boskoop/Belle de Boskoop,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
48,APPLES Boskoop/Belle de Boskoop,3292,Boskoop/Belle de Boskoop,Boskoop/Belle de Boskoop,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
49,APPLES Scifresh,3293,Scifresh,Scifresh,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
50,APPLES Scifresh,3294,Scifresh,Scifresh,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
51,APPLES Sciearly,3295,Sciearly,Sciearly,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
52,APPLES Sciearly,3296,Sciearly,Sciearly,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
53,APPLES Scired,3297,Scired,Scired,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
54,APPLES Redfield,3298,Redfield,Redfield,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
55,APPLES Sonya,3299,Sonya,Sonya,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
56,APPLES Sonya,3300,Sonya,Sonya,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
57,APPLES Cripps Red,3301,Cripps Red,Cripps Red,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
58,APPLES Scilate,3315,Scilate,Scilate,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
59,APPLES Belchard,3339,Belchard - Chantecler,Belchard,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
60,APPLES Bertanne/Golden Russet,3340,Bertanne/Golden Russet,Bertanne/Golden Russet,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
61,APPLES Charles Ross,3341,Charles Ross,Charles Ross,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
62,APPLES Delblush,3342,Delblush,Delblush,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
63,APPLES Dessert,3343,Dessert,Dessert,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
64,APPLES Gloster,3344,Gloster,Gloster,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
65,APPLES Gloster,3345,Gloster,Gloster,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
66,APPLES Holstein,3346,Holstein,Holstein,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
67,APPLES Laxtons Fortune,3347,Laxtons Fortune,Laxtons Fortune,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
68,APPLES Lord Lambourne,3348,Lord Lambourne,Lord Lambourne,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
69,APPLES Michaelmas Red,3349,Michaelmas Red,Michaelmas Red,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
70,APPLES Reine des Reinettes/King of the Pippins,3350,Reine des Reinettes/King of the Pippins,Reine des Reinettes/King of the Pippins,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
71,APPLES Reine des Reinettes/King of the Pippins,3351,Reine des Reinettes/King of the Pippins,Reine des Reinettes/King of the Pippins,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
72,APPLES Reinettes and Heritage varieties,3352,"Reinettes and Heritage varieties - (incl Canada blanc Reinette du Mans, Armorique/du Vigan/Calville",Reinettes and Heritage varieties,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
73,APPLES St Edmunds Pippin,3353,St Edmunds Pippin,St Edmunds Pippin,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
74,APPLES Pinova,3435,Pinova,Pinova,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
75,APPLES Ambrosia,3438,Ambrosia,Ambrosia,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
76,APPLES New York 1,3442,New York 1,New York 1,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
77,APPLES New York 2,3443,New York 2,New York 2,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
78,APPLES Green Dragon,3444,Green Dragon,Green Dragon,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
79,APPLES DS 3,3445,DS 3,DS 3,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
80,APPLES DS 22,3447,DS 22,DS 22,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
81,APPLES Red Jonaprince,3460,Red Jonaprince,Red Jonaprince,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
82,APPLES Lady Williams,3461,Lady Williams,Lady Williams,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
83,APPLES Regal 13-82,3467,Regal 13-82,Regal 13-82,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
84,APPLES Honeycrisp,3468,Honeycrisp,Honeycrisp,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
85,APPLES DALINETTE,3484,DALINETTE,DALINETTE,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
86,APPLES CN121,3486,CN121,CN121,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
87,APPLES MN 55,3487,MN 55,MN 55,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
88,APPLES Antares,3600,Antares,Antares,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
89,APPLES Huaguan,3601,Huaguan,Huaguan,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
90,APPLES Belgica,3602,Belgica,Belgica,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
91,APPLES Minneiska,3603,Minneiska,Minneiska,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
92,APPLES Emmons,3604,Emmons,Emmons,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
93,APPLES Nicoter,3605,Nicoter,Nicoter,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
94,APPLES Mariri Red,3607,Mariri Red,Mariri Red,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
95,APPLES Sciros,3608,Sciros,Sciros,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
96,APPLES Nicogreen,3612,Nicogreen,Nicogreen,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
97,APPLES Fuji Brak,3613,Fuji Brak,Fuji Brak,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
98,APPLES Civni,3615,Civni,Civni,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
99,APPLES Scilate,3616,Scilate,Scilate,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
100,APPLES Opal,3618,Opal,Opal,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
101,APPLES Milwa,3619,Milwa,Milwa,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
102,APPLES Plumac,3620,Plumac,Plumac,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
103,APPLES Minnewashta,3625,Minnewashta,Minnewashta,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
104,APPLES PremA17,3627,PremA17,PremA17,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
105,APPLES PremA280,3628,PremA280,PremA280,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
106,APPLES CIVG198,3629,CIVG198,CIVG198,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
107,APPLES Co-op 43,3630,Co-op 43,Co-op 43,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
108,APPLES Red Delicious,4015,Red Delicious,Red Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
109,APPLES Red Delicious,4016,Red Delicious,Red Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
110,APPLES Granny Smith,4017,Granny Smith,Granny Smith,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
111,APPLES Granny Smith,4018,Granny Smith,Granny Smith,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
112,APPLES McIntosh,4019,McIntosh,McIntosh,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
113,APPLES Golden Delicious,4020,Golden Delicious,Golden Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
114,APPLES Golden Delicious,4021,Golden Delicious,Golden Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
115,APPLES Haralson,4057,Haralson,Haralson,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
116,APPLES Haralson,4058,Haralson,Haralson,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
117,APPLES Ginger Gold,4096,Ginger Gold,Ginger Gold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
118,APPLES Ginger Gold,4097,Ginger Gold,Ginger Gold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
119,APPLES Akane,4098,Akane,Akane,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
120,APPLES Akane,4099,Akane,Akane,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
121,APPLES Fireside,4100,Fireside,Fireside,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
122,APPLES Braeburn,4101,Braeburn,Braeburn,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
123,APPLES Fireside,4102,Fireside,Fireside,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
124,APPLES Braeburn,4103,Braeburn,Braeburn,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
125,APPLES Cortland,4104,Cortland,Cortland,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
126,APPLES Cox Orange Pippin,4105,Cox Orange Pippin,Cox Orange Pippin,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
127,APPLES Cortland,4106,Cortland,Cortland,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
128,APPLES Crab,4107,Crab,Crab,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
129,APPLES Crispin/Mutsu,4108,Crispin/Mutsu,Crispin/Mutsu,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
130,APPLES Crispin/Mutsu,4109,Crispin/Mutsu,Crispin/Mutsu,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
131,APPLES Crispin/Mutsu,4110,Crispin/Mutsu,Crispin/Mutsu,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
132,APPLES Crispin/Mutsu,4111,Crispin/Mutsu,Crispin/Mutsu,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
133,APPLES Regent,4112,Regent,Regent,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
134,APPLES Criterion,4113,Criterion,Criterion,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
135,APPLES Regent,4114,Regent,Regent,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
136,APPLES Criterion,4115,Criterion,Criterion,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
137,APPLES Early,4116,Early,Early,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
138,APPLES Early,4117,Early,Early,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
139,APPLES Early,4118,Early,Early,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
140,APPLES Early,4119,Early,Early,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
141,APPLES Fiesta,4120,Fiesta,Fiesta,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
142,APPLES Elstar,4121,Elstar,Elstar,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
143,APPLES Sciros,4122,Sciros,Sciros,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
144,APPLES Elstar,4123,Elstar,Elstar,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
145,APPLES Empire,4124,Empire,Empire,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
146,APPLES Empire,4125,Empire,Empire,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
147,APPLES Empire,4126,Empire,Empire,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
148,APPLES Empire,4127,Empire,Empire,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
149,APPLES Cripps Pink,4128,Cripps Pink,Cripps Pink,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
150,APPLES Fuji,4129,Fuji,Fuji,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
151,APPLES Cripps Pink,4130,Cripps Pink,Cripps Pink,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
152,APPLES Fuji,4131,Fuji,Fuji,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
153,APPLES Gala,4132,Gala,Gala,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
154,APPLES Gala,4133,Gala,Gala,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
155,APPLES Gala,4134,Gala,Gala,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
156,APPLES Gala,4135,Gala,Gala,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
157,APPLES Golden Delicious,4136,Golden Delicious,Golden Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
158,APPLES Golden Delicious,4137,Golden Delicious,Golden Delicious,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
159,APPLES Granny Smith,4138,Granny Smith,Granny Smith,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
160,APPLES Granny Smith,4139,Granny Smith,Granny Smith,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
161,APPLES Idared,4140,Idared,Idared,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
162,APPLES Jonamac,4141,Jonamac,Jonamac,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
163,APPLES Idared,4142,Idared,Idared,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
164,APPLES Jonamac,4143,Jonamac,Jonamac,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
165,APPLES Jonagold,4144,Jonagold,Jonagold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
166,APPLES Jonagold,4145,Jonagold,Jonagold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
167,APPLES Jonagold,4146,Jonagold,Jonagold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
168,APPLES Jonagold,4147,Jonagold,Jonagold,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
