agency_id,number,name,billing_address1,billing_address2,billing_city,billing_state,billing_zip,county_code,county_name,county_rollup,agency_type,representative_name,services_loc_id,services_reporting_agency_id,agency_id_rollup,is_community_agency,number_full
37,1037,Helping Hands of Toronto Ohio,106 South River Avenue,NA,Toronto,OH,43964,JEF,Jefferson,Rural,Pantry,H.Willis,2316,271,37,1,000000001037
38,1038,Salvation Army East Main FP,966 E. Main Street,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,502,273,38,1,000000001038
39,1039,Bell Chapel UMC Good Samaritan Fund,3419 State Route 213,NA,Steubenville,OH,43952,JEF,Jefferson,Rural,Pantry,H.Willis,661,275,NA,1,000000001039
40,1040,Woodsfield Manna SOMA,P O Box 576,NA,Woodsfield,OH,43793-0576,MON,Monroe,Rural,Pantry,H.Willis,1300,277,NA,1,000000001040
41,1041,Bibleway Food Pantry,453 South Wheatland Avenue,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,503,279,NA,1,000000001041
42,1042,Heart To Heart Pantry,1320 Cambridge Blvd.,NA,Columbus,OH,43212,FRA,Franklin,Franklin,Pantry,NA,223,281,NA,1,000000001042
43,1043,Broad Street Presbyterian Pantry,760 East Broad Street,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,355,283,43,1,000000001043
44,1044,Crossroads UMC Food Pantry,1100 S. Hague Avenue,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,606,285,44,1,000000001044
45,1045,Emergency Clearinghouse Pantry,P O Box 1011,NA,Circleville,OH,43113-1011,PIC,Pickaway,Contiguous,Pantry,B.Nance,146,287,NA,1,000000001045
46,1046,Brookside Church Pantry,2215 Egypt Pike,NA,Chillicothe,OH,45601,ROS,Ross,Rural,Pantry,B.Nance,211,289,NA,1,000000001046
47,1047,Fayette County Food Pantry,214 NORTH HINDE STREET,NA,Washington Court House,OH,43160,FAY,Fayette,Rural,Pantry,B.Nance,325,291,NA,1,000000001047
48,1048,Hoge Memorial Presbyterian Church Pantry,2930 West Broad Street,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,745,293,NA,1,000000001048
49,1049,Wesley Church of Hope UMC Pantry,2935 Bulen Avenue,NA,Columbus,OH,43207,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001049
50,1050,Burgess Avenue UMC,2622 Sullivant Ave,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001050
51,1051,"Perry Center, INC.",4387 Belcher Ct.,NA,Columbus,OH,43224,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001051
52,1052,Salvation Army Hilltop Pantry,PO Box 23510,NA,Columbus,OH,43223-0510,FRA,Franklin,Franklin,Pantry,NA,505,297,38,1,000000001052
53,1053,CMACAO Martin Luther King,700 Bryden Road Suite 225,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001053
54,1054,CMACAO Northside Action,700 Bryden Road,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001054
55,1055,CMACAO Northeast,700 Bryden Road,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001055
56,1056,CMACAO Senior OPP. SVCS.,700 Bryden Road,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001056
57,1057,CMACAO Southside Action,700 Bryden Road,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001057
58,1058,CMACAO County Action,700 Bryden Road,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001058
59,1059,CMACAO Westside Action,700 Bryden Road,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001059
60,1060,Open Pantry,24890 Township Road 444,NA,Warsaw,OH,43844,COS,Coshocton,Rural,Pantry,B.Nance,0,0,60,1,000000001060
61,1061,Goodwill Columbus,1331 Edgehill Road,NA,Columbus,OH,43212,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001061
62,1062,ZZZZZCentenary UMC Community Center Food,2048 Denune Avenue,NA,Columbus,OH,43211,FRA,Franklin,Franklin,Pantry,NA,1305,299,NA,1,000000001062
63,1063,Main Ave UMC Food Pantry,10182 Oakwood Avenue,NA,Byesville,OH,43723,GUE,Guernsey,Rural,Pantry,H.Willis,1290,301,NA,1,000000001063
64,1064,Central College Church Pantry,975 South Sunbury Road,NA,Westerville,OH,43081,FRA,Franklin,Franklin,Pantry,NA,506,303,NA,1,000000001064
65,1065,Central Community House(Hold),P O Box 7047,NA,Columbus,OH,43205-7047,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001065
66,1066,Agape Homeless Shelter Food Pantry,525 Slack Street,NA,Steubenville,OH,43952,JEF,Jefferson,Rural,Pantry,H.Willis,1667,304,1921,1,000000001066
67,1067,Duncan Falls Baptist Pantry,447 North Street,NA,Duncan Falls,OH,43734,MUS,Muskingum,Rural,Pantry,NA,0,0,NA,1,000000001067
68,1068,Abundant Life Food Pantry,3400 Franklin Street,NA,Bellaire,OH,43906,BEL,Belmont,Rural,Pantry,H.Willis,372,305,68,1,000000001068
69,1069,St Michael St Vincent DePaul Food Pantry,5750 North High Street,NA,Worthington,OH,43085,FRA,Franklin,Franklin,Pantry,NA,867,306,NA,1,000000001069
70,1070,Eastside Food Pantry,P O Box 965,NA,Zanesville,OH,43702-0965,MUS,Muskingum,Rural,Pantry,B.Nance,577,307,70,1,000000001070
71,1071,Stratton House Pantry,461 St Clair Avenue,NA,Columbus,OH,43203,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001071
72,1072,Christian Center PTL,298 Rocky Fork Drive South,NA,Gahanna,OH,43230,FRA,Franklin,Franklin,Pantry,NA,1006,308,NA,1,000000001072
73,1073,Cathedral Food Pantry/World CONQ,1082 Thomas Ave,NA,Columbus,OH,43223,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001073
74,1074,ZZZZZChurch of the Living Word,3833 Westerville Road,NA,Columbus,OH,43224,FRA,Franklin,Franklin,Pantry,NA,2301,309,NA,1,000000001074
75,1075,Church of Spiritual Unity,2334 Mock Road,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001075
76,1076,Clair UMC Food Pantry Plus,293 E BARTHMAN AVE,NA,COLUMBUS,OH,43207,FRA,Franklin,Franklin,Pantry,NA,771,310,NA,1,000000001076
77,1077,Columbus Cancer Clinic,1699 W. Mound Street,NA,Columbus,OH,43223,FRA,Franklin,Franklin,Pantry,NA,1911,311,77,1,000000001077
78,1078,Columbus AIDS Task Force,1751 East Long Street,NA,Columbus,OH,43203-2045,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001078
79,1079,Community Connection of Love Pantry,2935 Bulen Avenue,NA,Columbus,OH,43207,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001079
80,1080,Community Action Fayette (Closed),324 East Court Street,NA,Washington CH,OH,43160,FAY,Fayette,Rural,Pantry,NA,0,0,NA,1,000000001080
81,1081,Clintonville Beechwold CRC Food Pantry,3222 North High Street,NA,Columbus,OH,43202-1002,FRA,Franklin,Franklin,Pantry,NA,508,679,81,1,000000001081
82,1082,Community Action Baby/Taxable Ptry,828 Lee Street,NA,Zanesville,OH,43701,MUS,Muskingum,Rural,Pantry,NA,0,0,NA,1,000000001082
83,1083,Smithfield Friends Pantry,P O Box 154,NA,Smithfield,OH,43948-0154,JEF,Jefferson,Rural,Pantry,H.Willis,493,313,NA,1,000000001083
84,1084,Eastview UMC Food Pantry,1045 Ross Road,NA,Columbus,OH,43227,FRA,Franklin,Franklin,Pantry,NA,0,0,84,1,000000001084
85,1085,Ebenezer Baptist Church,920 East Fulton Street,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001085
86,1086,Firm Foundation Food Ministry,2660 West Broad Street,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001086
87,1087,Community for New Direction Pantry,2096 West Mound Street,NA,COLUMBUS,OH,43223,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001087
88,1088,Lighthouse Pantry,C/O 77 Fairfield Avenue,NA,Newark,OH,43055,MUS,Muskingum,Rural,Pantry,B.Nance,2343,314,NA,1,000000001088
89,1089,Parsons Avenue Church of God,3389 Parsons Avenue,NA,Columbus,OH,43207,FRA,Franklin,Franklin,Pantry,NA,0,0,89,1,000000001089
90,1090,Jubilee Food Pantry,P O Box 83,NA,Dresden,OH,43821-0083,MUS,Muskingum,Rural,Pantry,B.Nance,1537,315,NA,1,000000001090
91,1091,Church on the Rise Pantry,7512 Newark Road,NA,Mt Vernon,OH,43050,KNO,Knox,Rural,Pantry,B.Nance,619,316,NA,1,000000001091
92,1092,First Church of God Refugee Rd Food P,P O Box 32404,NA,Columbus,OH,43232-0404,FRA,Franklin,Franklin,Pantry,NA,151,317,92,1,000000001092
93,1093,Church of God-Wayne,116 South Wayne Avenue,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,0,0,93,1,000000001093
94,1094,First Pentecostal Gospel Pantry,421 Dakota Avenue,NA,Columbus,OH,43223,FRA,Franklin,Franklin,Pantry,NA,894,318,NA,1,000000001094
95,1095,zzzzzPleasant City Food Pantry,P O Box 5,NA,Pleasant City,OH,43772,GUE,Guernsey,Rural,Pantry,H.Willis,371,319,NA,1,000000001095
96,1096,Gladden Food Pantry,P O Box 23030,NA,Columbus,OH,43223,FRA,Franklin,Franklin,Pantry,NA,8,320,96,1,000000001096
97,1097,First House of Commandments Pantry,1665 Burley Drive,NA,Columbus,OH,43207,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001097
98,1098,Friendship Missionary Baptist Church FP,P O Box 23471,NA,Columbus,OH,43223-0471,FRA,Franklin,Franklin,Pantry,NA,192,321,NA,1,000000001098
99,1099,Tabernacle Baptist Church Pantry,2188 Woodward Avenue,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,480,322,99,1,000000001099
100,1100,Good Samaritan Pantry of West Jefferson,36 South Center St.,NA,West Jefferson,OH,43162,MAD,Madison,Contiguous,Pantry,B.Nance,100,323,NA,1,000000001100
101,1101,Good Samaritan Network of Ross County,PO Box 1780,NA,Chillicothe,OH,45601-0780,ROS,Ross,Rural,Pantry,B.Nance,224,324,NA,1,000000001101
102,1102,Good Shepherd Baptist Church,1555 East Hudson Street,NA,Columbus,OH,43211,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001102
103,1103,On the Move Ministries Pantry,4640 Heaton Rd,NA,Columbus,OH,43229,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001103
104,1104,Gospel Tabernacle Ch Pantry/Hildreth Hse,P O Box 13554,NA,Columbus,OH,43213,FRA,Franklin,Franklin,Pantry,NA,0,0,104,1,000000001104
105,1105,Love Zion Baptist Food Pantry/Hold,1459 Madison Avenue,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001105
106,1106,Agape Food Pantry,40 Washington Sqaure PO Box 163,NA,Washington Court House,OH,43160-1747,FAY,Fayette,Rural,Pantry,NA,0,0,NA,1,000000001106
107,1107,Our Lady of Guadalupe Food Pantry,197 East Gay Street,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,107,325,NA,1,000000001107
108,1108,World Harvest,PO Box 32903,*ATTN: Accounts Payable,Columbus,OH,43232-0903,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001108
109,1109,Grace Nazarene Food Pantry,3601 Bexvie Avenue,NA,Columbus,OH,43227,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001109
110,1110,Higher Ground Food Pantry,7431 Bride Water Blvd.,NA,Columbus,OH,43235,FRA,Franklin,Franklin,Pantry,NA,511,326,NA,1,000000001110
111,1111,Hilltop Civic Council Food Pantry,2510 Sullivant Avenue,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001111
112,1112,Hilltop UMC Food Pantry,99 South Highland Avenue,NA,Columbus,OH,43223,FRA,Franklin,Franklin,Pantry,NA,713,327,NA,1,000000001112
113,1113,Southside Comm. Enrich. & Learning,1061 South 22nd Street,Mt. Sinai Holiness Church of God,Columbus,OH,43206,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001113
114,1114,Madison County Food Pantry,137 Maple Street,NA,London,OH,43140,MAD,Madison,Contiguous,Pantry,B.Nance,564,328,NA,1,000000001114
115,1115,Calvary Road Comm. Church Food,4249 Nine Mile Rd,NA,Urbana,OH,43078,FRA,Franklin,Franklin,Pantry,NA,448,329,115,1,000000001115
116,1116,Holy Family Food Pantry,57 South Grubb Street,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,111,330,367,1,000000001116
117,1117,Belle Valley Faith Baptist Pantry,PO Box 187,NA,Belle Valley,OH,43717-0187,NOB,Noble,Rural,Pantry,NA,0,0,NA,1,000000001117
118,1118,Hosack Street Baptist Food Pantry,1160 Watkins Road,NA,Columbus,OH,43207,FRA,Franklin,Franklin,Pantry,NA,0,0,118,1,000000001118
119,1119,Salvation Army Chillicothe Pantry,PO Box 451,NA,Chillicothe,OH,45601-0451,ROS,Ross,Rural,Pantry,B.Nance,2354,331,NA,1,000000001119
120,1120,Interchurch Social Service of Knox Co.,PO Box 1052,NA,Mt Vernon,OH,43051-0052,KNO,Knox,Rural,Pantry,B.Nance,646,332,120,1,000000001120
121,1121,ISS Centerburg Choice Pantry,P O Box 751,NA,Centerburg,OH,43011-0751,KNO,Knox,Rural,Pantry,B.Nance,646,333,120,1,000000001121
122,1122,ISS Fredericktown Choice Pantry,PO Box 301,NA,Fredericktown,OH,43019-0301,KNO,Knox,Rural,Pantry,B.Nance,646,334,120,1,000000001122
123,1123,ISS Danville Choice Pantry,NA,NA,NA,NA,,KNO,Knox,Rural,Pantry,B.Nance,646,335,120,1,000000001123
124,1124,Lancaster Fairfield CAA,PO Box 768,NA,Lancaster,OH,43130-0768,FAI,Fairfield,Contiguous,Pantry,B.Nance,238,336,124,1,000000001124
125,1125,zzzzzGrace Food Pantry/Foundations for F,1889 Genessee Avenue,NA,Columbus,OH,43211,FRA,Franklin,Franklin,Pantry,NA,512,337,NA,1,000000001125
126,1126,Joy in the Wilderness Food Pantry,873 Hidden Bridge Lane,NA,Blacklick,OH,43004,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001126
127,1127,United Faith Int'l Bapt Ch Pantry,2235 Stelzer Road,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001127
128,1128,Franklin Station YMCA Choice Pantry,1907 Leonard Ave. Ste. 101,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,708,338,NA,1,000000001128
129,1129,Bread of Life Food Pantry/Ch of God(Hold,400 Nicholas Drive,Choice Pantry,Circleville,OH,43113,PIC,Pickaway,Contiguous,Pantry,NA,0,0,NA,1,000000001129
130,1130,Parsons Ave Apts SK/Comm.Hsg.Ntwk.,957 East Broad Street,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Soup Kitchen,NA,0,0,NA,1,000000001130
131,1131,Limestone Valley Food Pantry,7042 State Route 345 NE,NA,New Lexington,OH,43764,MUS,Muskingum,Rural,Pantry,B.Nance,607,339,NA,1,000000001131
132,1132,Easton Community Ch FP-Linden(hold),3035 Stelzer Road,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,0,0,132,1,000000001132
133,1133,ACTS,474 Wooster Road,NA,Mt. Vernon,OH,43050,KNO,Knox,Rural,Pantry,B.Nance,245,340,NA,1,000000001133
134,1134,Union County Personal Needs Pantry,P.O. Box 54,NA,Marysville,OH,43040,UNI,Union,Contiguous,Pantry,B.Nance,0,341,NA,1,000000001134
135,1135,Lutheran Social Services / South,1460 South Champion Avenue,NA,Columbus,OH,43206,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001135
136,1136,Lutheran Social Services Lancaster,1460 South Champion Avenue,NA,Columbus,OH,43206,FAI,Fairfield,Contiguous,Pantry,NA,0,0,NA,1,000000001136
137,1137,Lutheran Social Services / West,1460 South Champion Avenue,NA,Columbus,OH,43206,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001137
138,1138,Lutheran Social Services / East,1460 South Champion Avenue,NA,Columbus,OH,43206,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001138
139,1139,Trinity United Methodist Church,1581 Cambridge Blvd.,NA,Columbus,OH,43212,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001139
140,1140,Maize Manor UMC(Hold),3901 Maize Road,NA,Columbus,OH,43224,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001140
141,1141,Marysville Food Pantry,333 Ash Street,NA,Marysville,OH,43040,UNI,Union,Contiguous,Pantry,B.Nance,452,342,NA,1,000000001141
142,1142,Maywood Mission Pantry,1029 South Broad Street,NA,Lancaster,OH,43130,FAI,Fairfield,Contiguous,Pantry,B.Nance,678,343,142,1,000000001142
143,1143,ZZZZZEbenezer UMC Food Pantry,3330 Cleveland Avenue,NA,Columbus,OH,43224,FRA,Franklin,Franklin,Pantry,NA,514,344,NA,1,000000001143
144,1144,Lancaster Vineyard Church Pantry,431 Whiley Road,NA,Lancaster,OH,43130,FAI,Fairfield,Contiguous,Pantry,B.Nance,314,345,144,1,000000001144
145,1145,Morrow County Food Pantry,619 W. Marion RD,"BLDG C, Suite 111",Mt. Gilead,OH,43338,MOR,Morrow,Rural,Pantry,NA,0,0,NA,1,000000001145
146,1146,College Drive Presbyterian Pantry,P O Box 163,NA,New Concord,OH,43762,MUS,Muskingum,Rural,Pantry,B.Nance,963,346,146,1,000000001146
147,1147,Freshstart Church of God Pantry(hold),1001 Rosehill Road,Attn: Church Clerk,Reynoldsburg,OH,43068,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001147
148,1148,Apostolic Faith Temple Food Pantry,1634 East Main Street,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,0,0,148,1,000000001148
149,1149,URCDC Food Pantry at Mt Olivet,428 E MAIN ST,428 East Main Street,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,742,347,149,1,000000001149
150,1150,Community Food Pantry Canal Winchester,80 Covenant Way,PO Box 155,Canal Winchester,OH,43110,FRA,Franklin,Franklin,Pantry,NA,115,348,NA,1,000000001150
151,1151,Harmony Baptist Church,5142 County Road 25,NA,Marengo,OH,43334,MOR,Morrow,Rural,Pantry,NA,0,0,NA,1,000000001151
152,1152,Mt Vernon AME Church,1127 Mt Vernon Avenue,NA,Columbus,OH,43203,FRA,Franklin,Franklin,Pantry,NA,326,349,152,1,000000001152
153,1153,Big Walnut Friends Who Share FP,PO Box 424,* CHOICE PANTRY,Sunbury,OH,43074-0424,DEL,Delaware,Contiguous,Pantry,NA,0,0,NA,1,000000001153
154,1154,NNEMAP,PO Box 10614,NA,Columbus,OH,43201,FRA,Franklin,Franklin,Pantry,NA,515,559,154,1,000000001154
155,1155,Native American Indian Pantry(Hold),PO Box 07705,NA,Columbus,OH,43207-0705,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001155
156,1156,XMt Sterling Community Food Pantry,164 East Main Street,NA,Mt Sterling,OH,43143,MAD,Madison,Contiguous,Pantry,NA,348,0,1343,1,000000001156
157,1157,Richwood Emergency Assistance Pgm (hold),24777 State Route 37,NA,Richwood,OH,43344,UNI,Union,Contiguous,Pantry,B.Nance,0,0,157,1,000000001157
158,1158,Neighborhood House Food Pantry Inc,1000 Atcheson Street,NA,Columbus,OH,43203,FRA,Franklin,Franklin,Pantry,NA,0,0,158,1,000000001158
159,1159,"Neighborhood Services, Inc. NSI","1950 N. Fourth St.,Suite E",NA,Columbus,OH,43201,FRA,Franklin,Franklin,Pantry,NA,723,38,159,1,000000001159
160,1160,Wayman AME Church Pantry,213 North Zane Highway,NA,Martins Ferry,OH,43935,BEL,Belmont,Rural,Pantry,NA,0,0,NA,1,000000001160
1163,1161,Brookside Church Pantry(hold),2215 Egypt Pike,NA,Chillicothe,OH,45601,ROS,Ross,Rural,Pantry,NA,0,0,NA,1,000000001161
162,1162,Open Arms Pantry,2419 US RT. 42 North,NA,Delaware,OH,43015,DEL,Delaware,Contiguous,Pantry,NA,0,0,NA,1,000000001162
163,1163,Compassionate Min. Personal Needs,PO Box 758,NA,Grove City,OH,43123-0758,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001163
164,1164,Epworth UMC Food Pantry,5100 Karl Road,NA,Columbus,OH,43229,FRA,Franklin,Franklin,Pantry,NA,516,352,164,1,000000001164
165,1165,National Youth Advocate Food Pantry,1303 East Main Street,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,523,353,NA,1,000000001165
166,1166,Northside Deliverance Church of God(hold,1790 Cleveland Avenue,NA,Columbus,OH,43211,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001166
167,1167,St. Paul's Episcopal Pantry,197 East Center Street,NA,Marion,OH,43302,MAR,Marion,Rural,Pantry,B.Nance,341,0,NA,1,000000001167
168,1168,North Terrace Food Pantry,1420 Brandywine Blvd,NA,Zanesville,OH,43701,MUS,Muskingum,Rural,Pantry,B.Nance,1851,355,NA,1,000000001168
169,1169,Safe Haven Ministry of Faith F.P.,PO Box 11585,NA,Columbus,OH,43211-0585,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001169
170,1170,Hillcrest Baptist Food Pantry,2500 West Broad Street,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001170
