"mstr_item_id","lbs_per_service","name_commodity","family_id","name_family","item_id","number.y","case_weight","storage_method","category_grouping","material_cost_code","material_cost_name"
1,4,"BANANAS",4,"Produce",96900,"VPP308",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",97195,"VPP330",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",97439,"VPP340",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",98892,"VPP420",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",99187,"VPP425",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",101838,"VPP561",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",102268,"VPP613",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",102686,"QC24",40,"RF","Fresh Food","SY","FA Yellow"
1,4,"BANANAS",4,"Produce",103507,"VPP785",40,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",104229,"VPP863",40,"DR","Fresh Food","LO","Local"
9,4,"BANANAS",4,"Produce",80912,"KN901",8,"RF","Fresh Food","LO","Local"
10,4,"Plantain",4,"Produce",80286,"MWF927",24,"RF","Fresh Food","LO","Local"
10,4,"Plantain",4,"Produce",82527,"MWF931",50,"RF","Fresh Food","LO","Local"
10,4,"Plantain",4,"Produce",87277,"QC921",16,"RF","Fresh Food","SB","FA Blue"
10,4,"Plantain",4,"Produce",88080,"KL913",20,"DR","Fresh Food","LO","Local"
10,4,"Plantain",4,"Produce",91205,"MWF067",50,"RF","Fresh Food","LO","Local"
10,4,"Plantain",4,"Produce",96901,"VPP312",50,"DR","Fresh Food","LO","Local"
112,5,"APPLES",4,"Produce",103425,"VPP788",40,"DR","Fresh Food","LO","Local"
196,5,"APPLES",4,"Produce",87226,"OAS95336",50,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",48927,"OAS91151",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49026,"OAS91154",36,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49027,"OAS91155",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49145,"OAS91158",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49146,"OAS91159",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49276,"OAS91162",39,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49277,"OAS91163",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49278,"OAS91164",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49290,"OAS91165",25,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49337,"OAS91167",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49338,"OAS91169",31,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49390,"OAS91168",50,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49461,"OAS91172",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49462,"OAS91173",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49498,"OAS91175",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49499,"OAS91176",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49519,"HX9077",36,"DR","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",49642,"OAS91179",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49643,"OAS91180",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49644,"OAS91181",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49724,"OAS91185",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49725,"OAS91186",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49829,"OAS91188",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49830,"OAS91189",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49878,"OAS91191",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",49914,"OAS91193",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50006,"OAS91195",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50031,"OAS91196",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50096,"OAS91198",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50192,"FG920",5,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",50482,"OAS91200",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50483,"OAS91201",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50637,"OAS91209",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50898,"OAS90916",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",50912,"OAS90927",11,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51177,"OAS91290",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51250,"OAS91306",21,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51257,"OAS91313",11,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51477,"OAS91385",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51504,"OAS91401",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51510,"OAS91405",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51629,"OAS91439",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51641,"OAS990113",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51642,"OAS990114",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51699,"OAS91469",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51700,"OAS91470",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51748,"ZZ9222",1,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",51786,"OAS91487",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51799,"OAS91489",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51801,"WX914",1,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",51821,"OAS91491",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51833,"OAS91490",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51855,"OAS91500",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51856,"OAS91501",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51862,"OAS91502",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51873,"OAS990118",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51904,"OAS91503",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51913,"OAS990120",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",51931,"OAS91507",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52011,"OAS91533",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52012,"OAS91534",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52035,"OAS91539",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52042,"OAS91546",10,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52054,"OAS91555",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52056,"OAS91557",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52088,"OAS990130",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52149,"OAS91583",19,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52156,"OAS91586",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52157,"OAS91587",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52163,"FG9001",47,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",52195,"OAS990144",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52199,"OAS91588",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52200,"OAS91589",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52203,"HX9104",23,"DR","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",52222,"OAS91602",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52235,"OAS91604",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52236,"OAS91605",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52239,"HX9105",31,"DR","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",52277,"OAS91617",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52285,"OAS990148",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52404,"OAS91646",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52405,"OAS91647",1,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52433,"OAS990150",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52474,"OAS91657",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52475,"OAS91658",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52539,"OAS91671",39,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52540,"OAS91672",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52591,"OAS91666",39,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52592,"OAS91676",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52605,"OAS990156",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52622,"OAS91684",22,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52669,"OAS91686",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52670,"OAS91687",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52728,"OAS990159",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52846,"OAS91696",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52865,"OAS91698",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52866,"OAS91699",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52884,"OAS990161",48,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52954,"OAS990162",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52964,"OAS990164",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52966,"OAS990166",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52979,"OAS91713",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",52995,"OAS91714",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53020,"OAS91717",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53066,"OAS990167",48,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53167,"OAS91721",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53218,"OAS990171",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53219,"OAS990172",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53222,"OAS990175",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53232,"OAS91725",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53240,"IQ907",51,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",53278,"OAS91728",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53279,"OAS91729",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53342,"OAS91735",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53343,"OAS91736",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53491,"OAS91738",39,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53631,"OAS91740",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53707,"OAS91743",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53709,"OAS91742",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53846,"OAS91744",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53870,"OAS91745",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",53871,"OAS91746",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",54048,"HX9135",31,"DR","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",54145,"PK910",30,"DR","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",54293,"OAS91909",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",54389,"HX9147",35,"DR","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",55344,"CLU914",1,"DR","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",56477,"WX915",1,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",57083,"OAS990277",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",57382,"OAS990282",46,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",58330,"OAS99121",600,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",58444,"HX9302",27,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",58610,"HX9236",27,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",58708,"OAS92540",40,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",58710,"OAS990283",44,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",58712,"OAS990285",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",58713,"OAS990286",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",58854,"KR90056",40,"FZ","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",58875,"HX9324",37,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",58882,"OAS92541",44,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",58883,"OAS92542",28,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59010,"OAS92553",40,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59011,"OAS92554",40,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59116,"OAS92559",40,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59183,"VAP920",36,"DR","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",59184,"VAP921",36,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",59296,"HX9255",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59316,"OAS92565",40,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59499,"OAS92569",44,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59506,"HX9336",25,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59507,"HX9337",29,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59516,"HX9346",29,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59663,"OAS92575",42,"RF","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59674,"OF906",1,"DR","Fresh Food","OD","OPFeed Donated"
204,5,"APPLES",4,"Produce",59768,"OAS92579",46,"DR","Fresh Food","TN","TANF"
204,5,"APPLES",4,"Produce",59950,"HX9501",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59952,"HX9502",24,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59953,"HX9503",26,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",59982,"VAP948",1,"RF","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",59983,"VAP949",1,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",60120,"VAP966",40,"RF","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",60121,"VAP967",40,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",60280,"HX9307",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",60501,"VAP9014",45,"DR","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",60502,"VAP9015",45,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",60686,"HX9383",35,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",60887,"HX9396",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",60941,"HX9399",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",61192,"HX9409",24,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",61516,"OAS92628",43,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",61791,"OAS92774",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62016,"HX9465",10,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",62032,"OAS92815",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62149,"HX9425",27,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",62150,"HX9426",27,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",62211,"OAS92840",42,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62494,"OAS92875",47,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62679,"OAS92909",41,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62680,"OAS92910",40,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62701,"FG9003",40,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",62782,"OAS92930",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",62940,"OAS92953",39,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63083,"OAS92981",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63194,"OAS92996",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63276,"HX9454",25,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",63311,"OAS93006",42,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63322,"OAS93008",42,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63354,"OAS93013",46,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63370,"OAS93020",42,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63422,"HX9492",24,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",63534,"HX9627",24,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",63622,"HX9541",31,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",63651,"OAS93021",42,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63940,"OAS99125",5,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",63963,"SMF929",1,"DR","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",63993,"HX9569",25,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",64037,"OAS93024",42,"DR","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64098,"HX9570",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",64213,"OAS93028",42,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64227,"OAS93029",42,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64352,"DTL901",30,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",64369,"OAS93030",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64424,"OAS93037",44,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64499,"OAS93043",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64566,"OAS93045",44,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64577,"OAS93945",44,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64578,"OAS93046",44,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64594,"HX9650",30,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",64714,"VAP9090",50,"DR","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",64715,"VAP9091",50,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",64774,"OAS93041",41,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64783,"OAS93042",40,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",64808,"DO9109",50,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",65175,"VAP9100",30,"RF","Fresh Food","SY","FA Yellow"
204,5,"APPLES",4,"Produce",65176,"VAP9101",30,"RF","Fresh Food","LO","Local"
204,5,"APPLES",4,"Produce",65526,"KR90134",42,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",66511,"THG924",1,"RF","Fresh Food","TH","Take Home Gro."
204,5,"APPLES",4,"Produce",66649,"KR9948",8,"RF","Fresh Food","SB","FA Blue"
204,5,"APPLES",4,"Produce",66700,"THG928",40,"RF","Fresh Food","TH","Take Home Gro."
204,5,"APPLES",4,"Produce",66822,"THG931",43,"RF","Fresh Food","TH","Take Home Gro."
204,5,"APPLES",4,"Produce",66896,"THG933",40,"RF","Fresh Food","TH","Take Home Gro."
204,5,"APPLES",4,"Produce",66903,"OAS93230",45,"RF","Fresh Food","AG","Agriculture"
204,5,"APPLES",4,"Produce",67004,"OAS93246",42,"RF","Fresh Food","AG","Agriculture"
